Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C712,0.1u,C_0402_1005Metric,218.948,-81.0006,-90,top
C713,27p,C_0402_1005Metric,211.582,-79.0448,-90,top
C714,27p,C_0402_1005Metric,213.5886,-86.8934,90,top
C716,0.1u,C_0402_1005Metric,213.5378,-76.962,-90,top
C717,0.1u,C_0402_1005Metric,220.2434,-77.4954,90,top
D201,LED,LED_0402_1005Metric,208.3308,-70.508,-90,top
D202,LED,LED_0402_1005Metric,205.0796,-70.5104,-90,top
D203,D5V0L1B2S9-7,D_SOD-923,182.2958,-77.597,-90,top
D204,GBLC03CI,D_SOD-323,243.0212,-135.23,-90,top
D701,D5V0L1B2S9-7,D_SOD-923,221.2594,-77.4954,-90,top
FB201,120R,L_0603_1608Metric,179.9844,-77.2668,-90,top
FB202,120R,L_0603_1608Metric,244.85,-135.23,-90,top
FB301,600R,L_0603_1608Metric,187.071,-73.6092,0,top
FB302,600R,L_0603_1608Metric,187.0456,-76.3524,0,top
FB701,600R,L_0603_1608Metric,214.0712,-81.3054,90,top
FB702,600R,L_0603_1608Metric,216.5858,-81.3054,90,top
FB703,120R,L_0603_1608Metric,218.8718,-77.4954,-90,top
J201,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,253.9596,-82.931,-90,top
J202,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,176.2252,-70.3834,180,top
J203,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,248.6406,-139.8474,0,top
J301,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,203.073,-87.2186,-90,top
J302,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Horizontal,225.806,-79.1972,90,top
J303,Conn_01x06_Male,PinSocket_1x06_P2.54mm_Vertical,207.391,-124.968,0,top
J304,Conn_01x06_Male,PinSocket_1x06_P2.54mm_Vertical,225.9584,-124.968,0,top
J305,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Horizontal,238.1912,-79.191,90,top
J401,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,206.5528,-115.575,180,top
J601,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,209.047,-96.8806,180,top
J602,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,195.2548,-127.2082,180,top
